
H&uuml;lscher, Olaf ==> 2.82778746425e-05
Willners, Caroline ==> 2.7176329646e-05
Yamaoka, Takayuki ==> 2.56698130239e-05
Bernd, Bohnet ==> 3.57579693246e-05
Callmeier, Ulrich ==> 6.47806791218e-05
Tabirao, Emerald ==> 5.83784236276e-05
Oliveira, Paulo C F de ==> 2.4981354356e-05
Sugimoto, Masakatsu ==> 1.80273949777e-05
Wenliang, Chen ==> 3.72406148398e-05
Xue, Song ==> 2.74904053456e-05
Jaruskulchai, Chuleerat ==> 2.16442030771e-05
Kumano, Akira ==> 6.88631384104e-05
Chao, Chih-Yu ==> 1.60397364072e-05
Kerminen, Antti ==> 2.48415873919e-05
Sourjikova, Eva ==> 3.98318631767e-05
Krkoska, Michael ==> 1.75368895477e-05
Qian, Longhua ==> 0.000104085928344
Arguello, Jaime ==> 4.82723716228e-05
Cordova, Aaron ==> 3.63157546955e-05
Bandyopadhyay, Sivaji ==> 0.000308969267643
Chen, Chun ==> 1.76800943458e-05
Wolinski, Francis ==> 6.01308769879e-05
Rudnicky, Alexander I. ==> 0.000480213493942
Hayes, Bruce ==> 3.57197835521e-05
